a,b,y
Vocabulary even went to Brazil through leaving Portuguese settlers with some Macanese and Chinese settlers .,Vocabulary even went to Brazil by leaving Macanese and Chinese settlers with some Portuguese settlers .,0
Kabir Suman recorded several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999 .,"Suman Chatterjee , recorded a number of albums between 1992 and 1999 under the name Suman Chattopaddhyay or Kabir Suman .",0
"The Austrian school assumes that the subjective choices of individuals , including individual knowledge , time , expectations , and other subjective factors , cause all economic phenomena .","The Austrian school assumes that the subjective choices of individuals , including subjective knowledge , time , expectation , and other individual factors , cause all economic phenomena .",0
"On January 17 , 2000 , there were reports of the RSS and some BJP - hardliners threatening to restart the party .","On 17 January 2000 , there were reports of the BJP and some RSS hard-liners threatening to restart the party .",0
"Guillermo Pérez Roldán defeated Andrés Gómez with 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 - 6 , 6 - 2 .","Andrés Gómez defeated Guillermo Pérez Roldán 6 -- 0 , 7 -- 6 , 3 - 6 , 0 - 6 , 6 - 2",0
The complex of the Trabzon World Trade Center is close to Trabzon Airport .,The complex of World Trade Center Trabzon is situated close to Trabzon Airport .,1
"Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .","Laetitia Pujol was a shady presence as Le Homme , Karl Paquette was his strong , melancholy double , and Mathieu Ganio portrayed La Femme .",1
"Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .","Earlier in 209 , Sun Quan married Sun Quan 's younger sister Lady Sun to strengthen the alliance between him and Liu Bei .",1
"His parents are Ernie Gordon , who grew up with Yankees - fan in Hyde Park , New York , and Wendy Abrahamsen .","His parents are Wendy Abrahamsen , who grew up a Yankees fan in Hyde Park , New York , and Ernie Gordon .",0
"On April 21 , 2018 , Edson Barboza is expected to meet at UFC Fight Night 128 .","Edson Barboza is expected to face Lee on April 21 , 2018 , at UFC Fight Night 128 .",0
The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .,The Dramatic and Public Arts Department was originally headed by T. Earl Pardoe .,1
"Fowler married Sarah Sloane , daughter of Hans Sloane and niece of Sir William Sloane , who had two sons and a daughter .","Fowler married Sarah Sloane , daughter of William Sloane and niece of Sir Hans Sloane . They had two sons and a daughter :",0
The static component is the entire soil resistance minus the dynamic component .,The dynamic component is the total resistance of the soil minus the static component .,0
"Ballarat has a healthy environment in comparison to Melbourne ; however , as a growing regional city there are issues including pollution , waterway health and invasive species .","Melbourne has a healthy environment in comparison to Ballarat , but as a growing regional city there are issues such as pollution , waterway health and invasive species .",0
The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .,A film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of the animated documentary .,1
"Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .","Turing had an elder brother , John Dermot Turing ( the father of Sir John , 12th Baronet of the Turing baronets ) .",1
"Thrasamund died in 523 and was succeeded by his cousin Hilderic , the firstborn son of Huneric .","In 523 , Thrasamund died and was replaced by his cousin Huneric , the firstborn son of Hilderic .",0
"Angelique Kerber won the title , defeating Karolína Plíšková in the final , 6 -- 3 , 5 -- 7 , 6 -- 4 .","Karolína Plíšková won the title and defeated in the final Angelique Kerber , 6 -- 3 , 5 -- 7 , 6 -- 4 .",0
"Born in 1935 in Mansfield , Nottinghamshire , Curry died in 1990 at the age of 54 in Longbenton , Northumberland .","Curry was born in Longbenton , Northumberland in 1935 and died in 1990 at the age of 54 in Mansfield , Nottinghamshire .",0
"Lukaszuk has two daughters , one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .","Lukaszuk has two daughters , one with his current wife , news speaker Stacey Brotzel CTV Edmonton and one with his previous wife .",0
"This is a list of the various heads of local government organisations that have served London , England .","This is a list of the various heads of the local governmental organisations that have served London , England .",1
